Feature
1,ENSRNOG00000027115
2,ENSRNOG00000069977
3,ENSRNOG00000017659
4,ENSRNOG00000011006
5,ENSRNOG00000055986
6,ENSRNOG00000037712
7,ENSRNOG00000047491
8,ENSRNOG00000029427
9,ENSRNOG00000009448
10,ENSRNOG00000019074
11,ENSRNOG00000004706
12,ENSRNOG00000065081
13,ENSRNOG00000048295
14,ENSRNOG00000008078
15,ENSRNOG00000005971
16,ENSRNOG00000011094
17,ENSRNOG00000007942
18,ENSRNOG00000005277
19,ENSRNOG00000008394
20,ENSRNOG00000050658
21,ENSRNOG00000033361
22,ENSRNOG00000042367
23,ENSRNOG00000060434
24,ENSRNOG00000016962
25,ENSRNOG00000053017
26,ENSRNOG00000020995
27,ENSRNOG00000027908
28,ENSRNOG00000003845
29,ENSRNOG00000020875
30,ENSRNOG00000033695
31,ENSRNOG00000029762
32,ENSRNOG00000067563
33,ENSRNOG00000050318
34,ENSRNOG00000016750
35,ENSRNOG00000065234
36,ENSRNOG00000008996
37,ENSRNOG00000014951
38,ENSRNOG00000022286
39,ENSRNOG00000009646
40,ENSRNOG00000004719
41,ENSRNOG00000034195
42,ENSRNOG00000016210
43,ENSRNOG00000032368
44,ENSRNOG00000026918
45,ENSRNOG00000015499
46,ENSRNOG00000006617
47,ENSRNOG00000004201
48,ENSRNOG00000028670
49,ENSRNOG00000062353
50,ENSRNOG00000048412
51,ENSRNOG00000045764
52,ENSRNOG00000056996
53,ENSRNOG00000043088
54,ENSRNOG00000026112
55,ENSRNOG00000019645
56,ENSRNOG00000039504
57,ENSRNOG00000005465
58,ENSRNOG00000068464
59,ENSRNOG00000046001
60,ENSRNOG00000047782
61,ENSRNOG00000002073
62,ENSRNOG00000003028
63,ENSRNOG00000063983
64,ENSRNOG00000014154
65,ENSRNOG00000010345
66,ENSRNOG00000001757
67,ENSRNOG00000011342
68,ENSRNOG00000024707
69,ENSRNOG00000042025
70,ENSRNOG00000058654
71,ENSRNOG00000051047
72,ENSRNOG00000000605
73,ENSRNOG00000036692
74,ENSRNOG00000046053
75,ENSRNOG00000005347
76,ENSRNOG00000021109
77,ENSRNOG00000062466
78,ENSRNOG00000020714
79,ENSRNOG00000018421
80,ENSRNOG00000025247
81,ENSRNOG00000016684
